order_id,customer_id,product_id,quantity,order_date,total
1,2,1,3,2025-12-23T01:26:29,52.14
2,4,2,2,2024-11-07T21:01:24,252.44
3,2,5,1,2024-09-01T19:53:46,20.73
4,10,4,1,2026-03-12T09:09:54,48.03
5,1,1,2,2025-03-15T00:34:48,34.76
6,4,5,5,2025-02-19T14:46:37,103.65
7,1,5,2,2025-02-02T18:36:42,41.46
8,9,4,2,2024-11-29T18:50:14,96.06
9,8,5,3,2026-03-08T10:28:49,62.19
10,1,2,4,2024-11-01T00:18:37,504.88
11,6,3,2,2026-01-21T00:15:16,739.1
12,4,3,1,2026-03-11T16:42:33,369.55
13,2,4,1,2026-07-07T09:05:40,48.03
14,6,3,5,2025-10-11T00:01:51,1847.75
15,5,1,4,2024-10-19T22:19:09,69.52
16,9,1,4,2025-11-15T01:14:24,69.52
17,2,5,3,2025-07-07T02:51:17,62.19
18,10,3,5,2024-09-07T02:08:02,1847.75
19,4,1,1,2024-09-05T13:07:20,17.38
20,4,3,1,2024-10-25T04:16:04,369.55
